timestamp,hour,day_of_week,tier,load_state,ina219_voltage,acs712_current,acs712_voltage,acs712_adc,power_watts,solar_production,solar_voltage,solar_current,battery_soc,total_load_power,cloud_cover,weather,classification
2025-11-22 15:35:37,15,5,1,1,12.14,1.51,1.834,568,18.33,682.08,47.85,14.25,75.1,39.64,0.6,Sunny,NORMAL
2025-11-22 15:35:37,15,5,2,1,12.24,0.794,1.747,541,9.72,682.08,47.85,14.25,75.1,39.64,0.6,Sunny,NORMAL
2025-11-22 15:35:37,15,5,3,1,12.08,0.96,1.767,547,11.59,682.08,47.85,14.25,75.1,39.64,0.6,Sunny,NORMAL
2025-11-22 15:40:37,15,5,1,1,11.64,2.214,1.92,595,25.78,800.37,47.58,16.82,75.2,46.77,0.6,Sunny,NORMAL
2025-11-22 15:40:37,15,5,2,1,11.8,1.779,1.867,578,20.99,800.37,47.58,16.82,75.2,46.77,0.6,Sunny,NORMAL
2025-11-22 15:40:37,15,5,3,0,0.0,0.0,1.65,511,0.0,800.37,47.58,16.82,75.2,46.77,0.6,Sunny,NORMAL
2025-11-22 15:45:37,15,5,1,1,11.62,2.099,1.906,590,24.38,708.63,47.98,14.77,75.3,53.68,0.6,Sunny,NORMAL
2025-11-22 15:45:37,15,5,2,1,12.1,1.618,1.848,572,19.58,708.63,47.98,14.77,75.3,53.68,0.6,Sunny,NORMAL
2025-11-22 15:45:37,15,5,3,1,12.06,0.806,1.748,542,9.72,708.63,47.98,14.77,75.3,53.68,0.6,Sunny,NORMAL
2025-11-22 15:50:37,15,5,1,1,11.68,5.0,2.26,700,58.4,690.94,47.77,14.46,75.4,75.15,0.6,Sunny,ANOMALY
2025-11-22 15:50:37,15,5,2,1,12.23,1.37,1.817,563,16.76,690.94,47.77,14.46,75.4,75.15,0.6,Sunny,NORMAL
2025-11-22 15:50:37,15,5,3,0,0.0,0.0,1.65,511,0.0,690.94,47.77,14.46,75.4,75.15,0.6,Sunny,NORMAL
2025-11-22 15:55:37,15,5,1,1,11.95,1.845,1.875,581,22.04,731.65,48.08,15.22,75.5,39.51,0.6,Sunny,NORMAL
2025-11-22 15:55:37,15,5,2,1,12.18,1.434,1.825,565,17.47,731.65,48.08,15.22,75.5,39.51,0.6,Sunny,NORMAL
2025-11-22 15:55:37,15,5,3,0,0.0,0.0,1.65,511,0.0,731.65,48.08,15.22,75.5,39.51,0.6,Sunny,NORMAL
2025-11-22 16:00:37,16,5,1,1,11.88,1.444,1.826,566,17.15,464.11,47.37,9.8,75.6,29.04,0.6,Sunny,NORMAL
2025-11-22 16:00:37,16,5,2,1,11.57,1.027,1.775,550,11.89,464.11,47.37,9.8,75.6,29.04,0.6,Sunny,NORMAL
2025-11-22 16:00:37,16,5,3,0,0.0,0.0,1.65,511,0.0,464.11,47.37,9.8,75.6,29.04,0.6,Sunny,NORMAL
2025-11-22 16:05:37,16,5,1,1,12.46,2.189,1.917,594,27.28,442.83,48.44,9.14,75.6,38.06,0.6,Sunny,NORMAL
2025-11-22 16:05:37,16,5,2,0,0.0,0.0,1.65,511,0.0,442.83,48.44,9.14,75.6,38.06,0.6,Sunny,NORMAL
2025-11-22 16:05:37,16,5,3,1,11.82,0.913,1.761,546,10.79,442.83,48.44,9.14,75.6,38.06,0.6,Sunny,NORMAL
2025-11-22 16:10:37,16,5,1,1,12.19,2.224,1.922,595,27.12,455.24,47.49,9.59,75.7,66.67,0.6,Sunny,NORMAL
2025-11-22 16:10:37,16,5,2,1,11.54,1.449,1.827,566,16.73,455.24,47.49,9.59,75.7,66.67,0.6,Sunny,NORMAL
2025-11-22 16:10:37,16,5,3,1,11.64,1.96,1.889,585,22.82,455.24,47.49,9.59,75.7,66.67,0.6,Sunny,ANOMALY
